skill_id,profile_id,skill_name,endorsements,sort_order
d8ab0d6e-732d-4618-8ddb-79eb5ddf1527,d2be4191-c62c-489d-9963-e8fdc0fb71bd,Pharmacology,,2
26101419-96d3-4b50-89b4-29c74a38b160,d2be4191-c62c-489d-9963-e8fdc0fb71bd,Two-photon Microscopy,,3
7c4f6131-459f-4a50-af1e-882c894e6a1e,d2be4191-c62c-489d-9963-e8fdc0fb71bd,Acute Brain Slices,,4
b0bb1cf3-2ef0-4cb4-8862-2dd3237327be,d2be4191-c62c-489d-9963-e8fdc0fb71bd,Live Cell Imaging,,5
c41a5e0c-3a3d-4af3-a769-f72c39c735ef,d2be4191-c62c-489d-9963-e8fdc0fb71bd,RNAseq Analysis,,6
5d5a72a1-7562-4184-bdff-a7f4866f52a8,d2be4191-c62c-489d-9963-e8fdc0fb71bd,Laboratory Skills,,7
9b654d00-d796-4e14-a410-e2e642f3a081,d2be4191-c62c-489d-9963-e8fdc0fb71bd,Single-Cell Analysis,,8
5a428b3e-160a-4b76-a156-b14e2143cab6,d2be4191-c62c-489d-9963-e8fdc0fb71bd,Bioinformatics,,9
16e14360-0428-4f68-93f4-9333707a6705,13797022-096e-490a-831c-1b09206cf6f5,Event Management,,0
a52afe69-65e5-49f6-a076-a10590b8e883,13797022-096e-490a-831c-1b09206cf6f5,Budgeting,,1
80f01a6a-72b9-45e3-aa0d-6252ee3d3bbb,13797022-096e-490a-831c-1b09206cf6f5,Budget Management,,2
e301587f-7688-4139-8e1f-6447642c3629,13797022-096e-490a-831c-1b09206cf6f5,Grant Writing,,3
79984c64-91b9-4a28-9527-20992bf9c408,13797022-096e-490a-831c-1b09206cf6f5,Fundraising,,4
219cb50d-d7d3-4733-b9d8-29f3f2c54751,13797022-096e-490a-831c-1b09206cf6f5,Teamwork,,5
b0a7f72a-1931-4f88-9dc0-a289280a67cd,13797022-096e-490a-831c-1b09206cf6f5,Leadership Development,,6
e0c0aa91-3a28-4a65-91ed-aa489535b32c,13797022-096e-490a-831c-1b09206cf6f5,Educational Leadership,,7
8d13e1b9-62e0-4aa9-b788-4ed6ed674f10,13797022-096e-490a-831c-1b09206cf6f5,Clinical Research,,8
0da4be43-8d6c-4415-b817-f0970587983a,13797022-096e-490a-831c-1b09206cf6f5,Medical Genetics,,9
e4c872f3-2708-4c6f-989f-a39f3fcfbda2,afede334-d3bd-4233-860a-c2ebeed96bef,Project Oversight,,0
6394e68d-3502-4ce7-8f79-cbf652ac724e,afede334-d3bd-4233-860a-c2ebeed96bef,Leadership Development,,1
96fc5e5f-d902-4362-913f-78eee7b1e992,afede334-d3bd-4233-860a-c2ebeed96bef,Medical Research,,2
4f35cb72-206b-4204-830d-c753dd89e650,afede334-d3bd-4233-860a-c2ebeed96bef,Patient Education,,3
acc7cc53-056e-4711-ba84-ce10d903bf21,afede334-d3bd-4233-860a-c2ebeed96bef,Clinical Trials,,4
3e52074e-9cee-4c1d-a22e-6134949d8400,afede334-d3bd-4233-860a-c2ebeed96bef,Leadership,,5
0d79d480-cf0e-41a3-aef4-50044ca85c73,afede334-d3bd-4233-860a-c2ebeed96bef,Research,,6
e7812479-ba09-4b5a-bec5-daa79c80e8ee,afede334-d3bd-4233-860a-c2ebeed96bef,First Aid,,7
588be8b0-9bfe-4d14-9c7e-8c4b15c1bc43,afede334-d3bd-4233-860a-c2ebeed96bef,Swim Instruction,,8
28347500-f6f0-4c2a-b1fe-dddbaa49a36b,afede334-d3bd-4233-860a-c2ebeed96bef,Lifeguarding,,9
57bc903f-9243-424d-81eb-9d4f8d8ca701,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Creativity and Innovation,,0
c2414e64-f7f8-4051-b9e1-000a5a40de01,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Problem Solving,,1
ef10c751-b180-4717-a689-f0958af6632f,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Entrepreneurial Thinking,,2
b5d32faa-b292-4bbc-a353-abe6bba5c77e,56a1930b-86d2-43fd-8ba5-cf49dddd7b32,Research Design,,3
