profile_id,source_section,raw_keyword,context_text
28eb115e-bbc6-49e3-a967-454d528de547,about,Clinical Research,
28eb115e-bbc6-49e3-a967-454d528de547,about,Biomedical Engineering,
28eb115e-bbc6-49e3-a967-454d528de547,about,Medical Physics,
28eb115e-bbc6-49e3-a967-454d528de547,about,and Science,
28eb115e-bbc6-49e3-a967-454d528de547,about,Professional with a Doctor of Philosophy (PhD) in Medical Biophysics from Western University,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis,"I am a Biomedical Engineering PhD candidate at the University of Calgary specializing in machine learning applications for fMRI data analysis. My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data, leveraging CNNs and large datasets like the Human Connectome Project. Passionate about innovative solutions in biomedical imaging, I aim to advance non-invasive physiological measurement techniques for both clinical and research applications. For a full list of my publications, please visit my Google Scholar profile: https://scholar.google.ca/citations?hl=en&user=VQZ39nkAAAAJ"
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,My research involves estimating physiological fluctuations such as respiratory and heart rate variability directly from imaging data,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,leveraging CNNs and large datasets like the Human Connectome Project,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,Passionate about innovative solutions in biomedical imaging,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,I aim to advance non-invasive physiological measurement techniques for both clinical and research applications,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,For a full list of my publications,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,please visit my Google Scholar profile,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,https,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,//scholar,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,google,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,ca/citations,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,about,hl=en&user=VQZ39nkAAAAJ,
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,publications,Machine Learning-based Estimation of Respiratory Fluctuations in a Healthy Adult Population using resting state BOLD fMRI and Head Motion Parameters,Machine Learning-based Estimation of Respiratory Fluctuations in a Healthy Adult Population using resting state BOLD fMRI and Head Motion Parameters
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,publications,Image Translation for Estimating Two‐Dimensional Axial Amyloid‐Beta PET From Structural MRI,Image Translation for Estimating Two‐Dimensional Axial Amyloid‐Beta PET From Structural MRI
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,publications,Limitations Of the Derived Respiratory Variation Measurements Used in Functional Magnetic Resonance Imaging,Limitations Of the Derived Respiratory Variation Measurements Used in Functional Magnetic Resonance Imaging
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,publications,Direct Machine Learning Reconstruction of Respiratory Variation Waveforms from Resting State fMRI Data in a Pediatric Population,Direct Machine Learning Reconstruction of Respiratory Variation Waveforms from Resting State fMRI Data in a Pediatric Population
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,publications,An intelligent system based on optimized ANFIS and association rules for power transformer fault diagnosis,An intelligent system based on optimized ANFIS and association rules for power transformer fault diagnosis
b3c59c34-c5b1-43ce-90af-b5ab281cec9a,publications,Control chart pattern recognition using RBF neural network with new training algorithm and practical features,Control chart pattern recognition using RBF neural network with new training algorithm and practical features
