log_id,source_url,final_url,http_status,status,error_msg,duration_sec,crawled_at
9f0db4c7-1291-4e59-bc37-8c7e7570f50d,https://www.linkedin.com/in/jasmine-stevenson-591011301/,https://www.linkedin.com/in/jasmine-stevenson-591011301/,200,success,,68.49,2026-05-30T03:00:40.732463+00:00
a058656e-1895-4028-b82b-864f6a2f2f7e,https://www.linkedin.com/in/yekeen-abu-shiraz-175b8a149/,https://www.linkedin.com/in/yekeen-abu-shiraz-175b8a149/,200,success,,77.61,2026-05-30T03:03:31.517494+00:00
ef9f5328-b8ff-48e1-8243-2b8fdbd4874b,https://www.linkedin.com/in/ravi-amir-santiago-bullock-9ab04b201/,https://www.linkedin.com/in/ravi-amir-santiago-bullock-9ab04b201/,200,success,,68.54,2026-05-30T03:07:56.367624+00:00
a20c71c6-abc4-42ff-81e0-7e998376ab1e,https://www.linkedin.com/in/nicole-zalasky-9606b2307/,https://www.linkedin.com/in/nicole-zalasky-9606b2307/,200,success,,68.92,2026-05-30T03:13:08.043559+00:00
ada95353-b0a5-4503-a7bd-b39aa849836e,https://www.linkedin.com/in/daniel-moussienko-02a7abba/,https://www.linkedin.com/in/daniel-moussienko-02a7abba/,200,success,,79.56,2026-05-30T03:16:26.194373+00:00
b8ba200e-3f48-4f41-9d26-8603c772e1e2,https://www.linkedin.com/in/heather-leduc-pessah-a2057158/,https://www.linkedin.com/in/heather-leduc-pessah-a2057158/,200,success,,68.7,2026-05-30T03:20:39.261411+00:00
aa7b4039-b98e-41a1-9cb3-840ee9cd4f47,https://www.linkedin.com/in/daniel-alayev-78822a310/,https://www.linkedin.com/in/daniel-alayev-78822a310/,200,success,,68.03,2026-05-30T03:25:35.821876+00:00
8e782e98-3722-41eb-9eba-cbb08f03ed34,https://www.linkedin.com/in/chandan-mann-279a51277/,https://www.linkedin.com/in/chandan-mann-279a51277/,200,success,,67.45,2026-05-30T03:29:22.283622+00:00
9a15c5f3-bdb5-4eea-9c0f-63c1358ecac7,https://www.linkedin.com/in/craig-day-2a118a100/,https://www.linkedin.com/in/craig-day-2a118a100/,200,success,,78.08,2026-05-30T03:32:54.748522+00:00
491aade9-08e0-4b9c-8ab1-66e19d248e3b,https://www.linkedin.com/in/george-montebruno-35684ba/,https://www.linkedin.com/in/george-montebruno-35684ba/,200,success,,77.85,2026-05-30T03:37:37.389335+00:00
897de915-62e8-4da0-9033-e8ad4dbd1e55,https://www.linkedin.com/in/khedawedj-slimani-06359012b/,https://www.linkedin.com/in/khedawedj-slimani-06359012b/,200,success,,68.17,2026-05-30T03:41:35.929158+00:00
d85cfd5c-ac5b-4ac6-836f-95b4b9f27da1,https://www.linkedin.com/in/annika-maj-9272471a8/,https://www.linkedin.com/in/annika-maj-9272471a8/,200,success,,69.08,2026-05-30T03:45:42.495164+00:00
c94cf414-1493-490e-8519-79f62ee12af6,https://www.linkedin.com/in/chantel-ritter-864989149/,https://www.linkedin.com/in/chantel-ritter-864989149/,200,success,,78.06,2026-05-30T03:50:39.124040+00:00
bda434dc-5fc2-492a-864c-24b09b51d51f,https://www.linkedin.com/in/chris-kang-4570091b8/,https://www.linkedin.com/in/chris-kang-4570091b8/,200,success,,79.9,2026-05-30T03:54:46.887739+00:00
